n,c,val
5,1,1.8069483804808453e-16
5,10,2.610231485628412e-16
5,1000,1.7850626913591223e-14
5,10000000,1.874017099962223e-10
5,1000000000000,1.8415994614712902e-5
5,10000000000000000,0.21524923010299854
10,1,3.0281309651395125e-16
10,10,3.776565784367373e-16
10,1000,1.8588779969361988e-14
10,10000000,1.9768523600922126e-10
10,1000000000000,1.9299211265428995e-5
10000000000000000,0.22124612724818285
20,1,5.218868153878846e-16
20,10,5.494955761376869e-16
20,1000,1.9587732575698833e-14
20,10000000,2.0445268570043338e-10
20,1000000000000,1.9770797724894753e-5
20,10000000000000000,0.22913031750055315
