n,c,val
5,1,1.6870650404002345e-16
5,10,2.6072988524009526e-16
5,1000,1.8848914263053216e-14
5,10000000,1.9091260510968597e-10
5,1000000000000,1.9084227759896513e-5
5,10000000000000000,0.2190465678778694
10,1,2.7061992425870126e-16
10,10,3.529586011420378e-16
10,1000,1.9372385587674556e-14
10,10000000,1.973090263711236e-10
10,1000000000000,1.9288961431553272e-5
10,10000000000000000,0.22621902628833687
20,1,4.366193978216266e-16
20,10,5.236178474821283e-16
20,1000,2.0819978742271137e-14
20,10000000,2.0322849291078214e-10
20,1000000000000,2.0166466641692097e-5
20,10000000000000000,0.23409540279579083
